"id","fecha","edad","perfil","objetivo","razon","monto ARS","Instrumento"
"28","17/08/2024","entre 26 y 35 años","Agresivo","Ahorro","Educación","54080","Fondos"
"29","05/04/2024","entre 26 y 35 años","Agresivo","Retiro","Vehículo","73917","ETF"
"30","31/08/2024","más de 46 años","Conservador","Retiro","Sin motivo específico","69055","ETF"
"31","02/10/2024","menos de 25 años","Moderado","Ahorro","Educación","53529","Acciones"
"32","02/06/2024","más de 46 años","Moderado","Inversión","Aprendizaje","87052","ETF"
"33","06/08/2024","menos de 25 años","Agresivo","Inversión","Aprendizaje","92860","Acciones"
"34","28/03/2024","entre 26 y 35 años","Conservador","Ahorro","Vivienda","71229","ETF"
"35","28/01/2025","entre 36 y 45 años","Agresivo","Otro","Vacaciones","40457","Acciones"
"36","20/07/2024","más de 46 años","Moderado","Ahorro","Proyecto personal","43060","Acciones"
"37","20/06/2024","entre 26 y 35 años","Conservador","Ahorro","Vehículo","50547","Bonos"
"38","31/10/2024","más de 46 años","Conservador","Ahorro","Vacaciones","43943","Fondos"
"39","09/01/2025","menos de 25 años","Conservador","Aumentar ingresos","Sin motivo específico","41728","Fondos"
"40","04/11/2024","entre 36 y 45 años","Conservador","Otro","Sin motivo específico","71178","Acciones"
"41","28/05/2024","entre 26 y 35 años","Agresivo","Otro","Sin motivo específico","87206","Acciones"
"42","21/01/2025","entre 36 y 45 años","Moderado","Otro","Educación","31632","Bonos"
"43","05/10/2024","entre 36 y 45 años","Agresivo","Inversión","Vehículo","80671","ETF"
"44","03/01/2025","más de 46 años","Agresivo","Aumentar ingresos","Sin motivo específico","67025","Acciones"
"45","10/02/2024","entre 36 y 45 años","Agresivo","Inversión","Sin motivo específico","83601","Acciones"
"46","17/08/2024","más de 46 años","Agresivo","Inversión","Vacaciones","91379","Bonos"
"47","03/10/2024","menos de 25 años","Agresivo","Inversión","Proyecto personal","60281","Bonos"
"48","15/01/2025","entre 26 y 35 años","Conservador","Otro","Proyecto personal","25341","ETF"
"49","05/08/2024","entre 36 y 45 años","Moderado","Ahorro","Proyecto personal","94968","Bonos"
"50","20/05/2024","entre 36 y 45 años","Agresivo","Otro","Vivienda","55744","ETF"
"51","15/12/2024","más de 46 años","Conservador","Retiro","Vacaciones","79144","Fondos"
"52","15/09/2024","entre 26 y 35 años","Agresivo","Inversión","Sin motivo específico","79804","Bonos"
"53","03/01/2025","más de 46 años","Agresivo","Inversión","Educación","67514","Fondos"
"54","24/04/2024","más de 46 años","Conservador","Otro","Aprendizaje","97711","Bonos"
"55","09/01/2025","entre 26 y 35 años","Conservador","Otro","Proyecto personal","35959","ETF"
"56","11/08/2024","entre 26 y 35 años","Agresivo","Otro","Aprendizaje","39703","Bonos"
"57","02/08/2024","entre 36 y 45 años","Agresivo","Otro","Aprendizaje","98436","Acciones"
"58","03/11/2024","entre 36 y 45 años","Moderado","Otro","Vehículo","41605","Fondos"
"59","22/06/2024","entre 26 y 35 años","Conservador","Aumentar ingresos","Vehículo","54149","Bonos"
"60","07/01/2025","menos de 25 años","Agresivo","Aumentar ingresos","Educación","59947","ETF"
"61","04/08/2024","entre 36 y 45 años","Conservador","Otro","Vacaciones","65982","Bonos"
"62","01/06/2024","menos de 25 años","Conservador","Aumentar ingresos","Proyecto personal","28639","Fondos"
"63","29/09/2024","entre 36 y 45 años","Conservador","Otro","Vacaciones","28363","ETF"
"64","18/02/2024","menos de 25 años","Agresivo","Inversión","Aprendizaje","71875","Fondos"
"65","19/05/2024","más de 46 años","Moderado","Retiro","Aprendizaje","87048","Acciones"
"66","07/08/2024","entre 36 y 45 años","Conservador","Retiro","Vivienda","48271","ETF"
"67","05/01/2025","entre 26 y 35 años","Moderado","Ahorro","Aprendizaje","39970","ETF"
"68","14/09/2024","más de 46 años","Moderado","Ahorro","Vacaciones","83202","ETF"
"69","12/08/2024","más de 46 años","Moderado","Ahorro","Vacaciones","58587","Bonos"
"70","13/09/2024","menos de 25 años","Conservador","Aumentar ingresos","Vivienda","36008","ETF"
"71","19/05/2024","entre 36 y 45 años","Moderado","Otro","Vivienda","95402","Bonos"
"72","08/08/2024","entre 36 y 45 años","Agresivo","Inversión","Educación","49833","ETF"
"73","30/01/2024","más de 46 años","Agresivo","Retiro","Sin motivo específico","58052","Bonos"
"74","26/10/2024","menos de 25 años","Moderado","Otro","Sin motivo específico","42746","ETF"
"75","06/05/2024","más de 46 años","Moderado","Otro","Vehículo","99073","ETF"
"76","05/03/2024","menos de 25 años","Agresivo","Otro","Sin motivo específico","84779","Fondos"
"77","03/10/2024","entre 36 y 45 años","Conservador","Aumentar ingresos","Sin motivo específico","74642","Acciones"
"78","09/08/2024","entre 26 y 35 años","Agresivo","Retiro","Vehículo","94327","Bonos"
"79","17/12/2024","más de 46 años","Agresivo","Inversión","Educación","72471","Fondos"
"80","19/07/2024","entre 36 y 45 años","Agresivo","Aumentar ingresos","Vehículo","26503","Bonos"
"81","31/03/2024","más de 46 años","Conservador","Ahorro","Proyecto personal","62678","Fondos"
"82","26/05/2024","entre 36 y 45 años","Moderado","Aumentar ingresos","Vivienda","97140","Fondos"
"83","18/02/2024","entre 36 y 45 años","Agresivo","Aumentar ingresos","Aprendizaje","31973","Acciones"
"84","28/06/2024","entre 36 y 45 años","Moderado","Aumentar ingresos","Aprendizaje","33890","Acciones"
"85","04/07/2024","entre 36 y 45 años","Moderado","Inversión","Proyecto personal","55830","Acciones"
"86","05/05/2024","entre 36 y 45 años","Moderado","Retiro","Vacaciones","41697","Bonos"
"87","25/06/2024","entre 26 y 35 años","Moderado","Aumentar ingresos","Vehículo","42767","ETF"
"88","28/05/2024","más de 46 años","Agresivo","Aumentar ingresos","Vivienda","42572","ETF"
"89","20/10/2024","entre 26 y 35 años","Conservador","Retiro","Aprendizaje","98625","Bonos"
"90","25/01/2025","menos de 25 años","Agresivo","Aumentar ingresos","Sin motivo específico","34798","Fondos"
"91","19/03/2024","entre 26 y 35 años","Agresivo","Aumentar ingresos","Vehículo","89711","ETF"
"92","27/06/2024","entre 26 y 35 años","Conservador","Ahorro","Vacaciones","38111","Fondos"
"93","04/05/2024","más de 46 años","Conservador","Inversión","Proyecto personal","75228","Acciones"
"94","27/08/2024","menos de 25 años","Moderado","Retiro","Proyecto personal","89322","Fondos"
"95","24/01/2025","más de 46 años","Moderado","Aumentar ingresos","Vehículo","78182","Bonos"
"96","13/01/2025","más de 46 años","Moderado","Retiro","Vacaciones","78468","ETF"
"97","16/06/2024","entre 36 y 45 años","Conservador","Inversión","Vehículo","98774","ETF"
"98","31/05/2024","entre 26 y 35 años","Conservador","Otro","Sin motivo específico","87644","Bonos"
"99","06/12/2024","entre 36 y 45 años","Agresivo","Otro","Sin motivo específico","86937","ETF"
"100","28/10/2024","menos de 25 años","Moderado","Ahorro","Vacaciones","44970","Bonos"
"101","07/12/2024","entre 36 y 45 años","Conservador","Inversión","Educación","89271","Fondos"
"102","14/01/2025","menos de 25 años","Conservador","Retiro","Aprendizaje","45600","Bonos"
"103","04/07/2024","menos de 25 años","Moderado","Inversión","Proyecto personal","77649","Acciones"
"104","19/11/2024","menos de 25 años","Conservador","Ahorro","Proyecto personal","82209","Fondos"
"105","19/05/2024","menos de 25 años","Agresivo","Otro","Vacaciones","28398","Bonos"
"106","27/09/2024","entre 26 y 35 años","Conservador","Inversión","Sin motivo específico","56181","ETF"
"107","12/06/2024","entre 36 y 45 años","Moderado","Aumentar ingresos","Vivienda","90865","Fondos"
"108","23/08/2024","entre 36 y 45 años","Agresivo","Aumentar ingresos","Vivienda","49524","Bonos"
"109","25/03/2024","entre 36 y 45 años","Moderado","Aumentar ingresos","Vacaciones","59109","Fondos"
"110","11/01/2025","más de 46 años","Agresivo","Otro","Vivienda","87649","ETF"
"111","06/06/2024","más de 46 años","Conservador","Inversión","Aprendizaje","82379","ETF"
"112","29/11/2024","más de 46 años","Conservador","Aumentar ingresos","Proyecto personal","48134","Fondos"
"113","02/05/2024","entre 26 y 35 años","Moderado","Retiro","Proyecto personal","42093","ETF"
"114","15/08/2024","menos de 25 años","Agresivo","Retiro","Vivienda","76646","ETF"
"115","23/04/2024","más de 46 años","Agresivo","Aumentar ingresos","Aprendizaje","37544","ETF"
"116","22/06/2024","entre 36 y 45 años","Moderado","Aumentar ingresos","Vivienda","82709","Fondos"
"117","13/02/2024","entre 36 y 45 años","Moderado","Inversión","Vivienda","35982","Bonos"
"118","05/05/2024","entre 36 y 45 años","Conservador","Otro","Educación","71858","ETF"
"119","28/12/2024","entre 26 y 35 años","Agresivo","Otro","Educación","98521","Bonos"
"120","30/07/2024","menos de 25 años","Conservador","Aumentar ingresos","Vivienda","28866","Bonos"
"121","07/05/2024","entre 26 y 35 años","Moderado","Otro","Vivienda","30354","Bonos"
"122","21/04/2024","menos de 25 años","Moderado","Aumentar ingresos","Vacaciones","25393","ETF"
"123","26/10/2024","menos de 25 años","Agresivo","Retiro","Vacaciones","33451","Acciones"
"124","27/08/2024","menos de 25 años","Moderado","Inversión","Vehículo","30264","Acciones"
"125","04/01/2025","más de 46 años","Conservador","Retiro","Aprendizaje","40435","Bonos"
"126","27/06/2024","entre 36 y 45 años","Moderado","Retiro","Vehículo","38644","Acciones"
"127","26/05/2024","más de 46 años","Moderado","Retiro","Educación","32588","Fondos"
"128","08/05/2024","más de 46 años","Moderado","Aumentar ingresos","Aprendizaje","29604","Acciones"
"129","30/05/2024","menos de 25 años","Agresivo","Retiro","Sin motivo específico","59533","Acciones"
"130","28/12/2024","menos de 25 años","Agresivo","Retiro","Educación","82970","Fondos"
"131","22/03/2024","entre 26 y 35 años","Moderado","Otro","Vacaciones","26120","Fondos"
"132","06/10/2024","menos de 25 años","Agresivo","Ahorro","Aprendizaje","62474","Fondos"
"133","04/08/2024","menos de 25 años","Agresivo","Aumentar ingresos","Proyecto personal","37885","Acciones"
"134","05/07/2024","menos de 25 años","Moderado","Retiro","Vivienda","57780","Bonos"
"135","10/11/2024","más de 46 años","Moderado","Otro","Sin motivo específico","77512","Acciones"
"136","04/08/2024","menos de 25 años","Agresivo","Retiro","Proyecto personal","98898","Fondos"
"137","11/12/2024","entre 26 y 35 años","Conservador","Ahorro","Vivienda","78248","ETF"
"138","25/04/2024","entre 36 y 45 años","Conservador","Otro","Educación","81157","ETF"
"139","07/11/2024","entre 36 y 45 años","Moderado","Inversión","Sin motivo específico","73937","Fondos"
"140","04/11/2024","más de 46 años","Agresivo","Retiro","Sin motivo específico","38212","Fondos"
"141","14/01/2025","más de 46 años","Moderado","Aumentar ingresos","Sin motivo específico","74004","Acciones"
"142","28/09/2024","más de 46 años","Agresivo","Ahorro","Vivienda","29972","Bonos"
"143","09/08/2024","más de 46 años","Agresivo","Otro","Sin motivo específico","91859","Acciones"
"144","23/07/2024","entre 26 y 35 años","Agresivo","Aumentar ingresos","Sin motivo específico","94221","Fondos"
"145","24/07/2024","entre 26 y 35 años","Agresivo","Aumentar ingresos","Proyecto personal","46512","ETF"
"146","04/04/2024","más de 46 años","Moderado","Otro","Vacaciones","80857","Fondos"
"147","04/09/2024","más de 46 años","Moderado","Ahorro","Vehículo","54158","Bonos"
"148","06/08/2024","menos de 25 años","Moderado","Inversión","Vacaciones","81108","Fondos"
"149","14/03/2024","menos de 25 años","Conservador","Retiro","Vivienda","52232","Fondos"
"150","24/07/2024","entre 26 y 35 años","Agresivo","Otro","Proyecto personal","75438","Acciones"
"151","14/12/2024","entre 26 y 35 años","Moderado","Ahorro","Educación","29228","ETF"
"152","15/09/2024","entre 36 y 45 años","Agresivo","Retiro","Vehículo","84024","Fondos"
"153","02/09/2024","menos de 25 años","Moderado","Retiro","Aprendizaje","56839","ETF"
"154","15/08/2024","entre 36 y 45 años","Agresivo","Aumentar ingresos","Vivienda","98657","Fondos"
"155","29/01/2024","entre 36 y 45 años","Moderado","Aumentar ingresos","Vivienda","29468","Acciones"
"156","09/11/2024","menos de 25 años","Moderado","Ahorro","Vehículo","72903","Fondos"
"157","11/01/2025","menos de 25 años","Moderado","Retiro","Vivienda","91072","Bonos"
"158","06/12/2024","entre 26 y 35 años","Moderado","Aumentar ingresos","Proyecto personal","42819","Fondos"
"159","12/02/2024","menos de 25 años","Agresivo","Aumentar ingresos","Aprendizaje","95472","ETF"
"160","08/01/2025","entre 26 y 35 años","Moderado","Retiro","Aprendizaje","62527","Bonos"
"161","24/12/2024","menos de 25 años","Conservador","Ahorro","Vacaciones","97458","ETF"
"162","11/12/2024","entre 36 y 45 años","Agresivo","Inversión","Sin motivo específico","96454","Bonos"
"163","02/03/2024","más de 46 años","Conservador","Retiro","Educación","64145","ETF"
"164","08/08/2024","menos de 25 años","Agresivo","Aumentar ingresos","Vivienda","33970","Fondos"
"165","28/05/2024","más de 46 años","Agresivo","Otro","Vacaciones","67655","Bonos"
"166","07/07/2024","entre 36 y 45 años","Conservador","Aumentar ingresos","Proyecto personal","51056","Acciones"
"167","26/01/2025","menos de 25 años","Agresivo","Ahorro","Vehículo","96972","Bonos"
"168","18/01/2025","entre 36 y 45 años","Moderado","Inversión","Vehículo","97307","ETF"
"169","04/10/2024","más de 46 años","Moderado","Aumentar ingresos","Vacaciones","92479","Acciones"
"170","28/04/2024","menos de 25 años","Moderado","Inversión","Sin motivo específico","35069","Acciones"
"171","06/04/2024","entre 36 y 45 años","Conservador","Aumentar ingresos","Educación","56274","Bonos"
"172","11/01/2025","entre 26 y 35 años","Moderado","Aumentar ingresos","Vacaciones","60923","Fondos"
"173","08/11/2024","menos de 25 años","Moderado","Ahorro","Vehículo","48149","Fondos"
"174","03/05/2024","entre 36 y 45 años","Conservador","Inversión","Vehículo","72980","Bonos"
"175","15/09/2024","entre 36 y 45 años","Moderado","Inversión","Vivienda","84941","Bonos"
"176","01/06/2024","menos de 25 años","Conservador","Aumentar ingresos","Proyecto personal","93223","Bonos"
"177","30/11/2024","menos de 25 años","Moderado","Retiro","Sin motivo específico","48548","Fondos"
"178","26/04/2024","entre 26 y 35 años","Agresivo","Inversión","Proyecto personal","26920","ETF"
"179","03/05/2024","menos de 25 años","Moderado","Retiro","Vehículo","57028","Bonos"
"180","16/12/2024","menos de 25 años","Agresivo","Ahorro","Aprendizaje","79541","Acciones"
"181","07/05/2024","entre 26 y 35 años","Agresivo","Otro","Vacaciones","94546","Bonos"
"182","15/04/2024","entre 36 y 45 años","Moderado","Retiro","Educación","33008","Acciones"
"183","25/08/2024","entre 36 y 45 años","Conservador","Aumentar ingresos","Proyecto personal","92855","Bonos"
"184","14/10/2024","más de 46 años","Moderado","Retiro","Educación","56310","Acciones"
"185","23/09/2024","más de 46 años","Moderado","Retiro","Vacaciones","37566","Acciones"
"186","07/09/2024","entre 36 y 45 años","Conservador","Retiro","Educación","41115","Acciones"
"187","27/03/2024","menos de 25 años","Moderado","Ahorro","Vivienda","29652","Bonos"
"188","28/08/2024","entre 26 y 35 años","Moderado","Inversión","Vacaciones","58394","Acciones"
"189","19/07/2024","entre 26 y 35 años","Moderado","Ahorro","Proyecto personal","88736","Acciones"
"190","07/02/2024","menos de 25 años","Agresivo","Aumentar ingresos","Sin motivo específico","36152","Bonos"
"191","03/07/2024","menos de 25 años","Conservador","Otro","Sin motivo específico","83642","ETF"
"192","22/12/2024","entre 36 y 45 años","Moderado","Aumentar ingresos","Educación","96497","Acciones"
"193","19/02/2024","menos de 25 años","Conservador","Retiro","Proyecto personal","90725","Fondos"
"194","07/11/2024","más de 46 años","Agresivo","Otro","Vehículo","75567","Acciones"
"195","07/09/2024","entre 26 y 35 años","Conservador","Otro","Vacaciones","71648","Fondos"
"196","11/12/2024","más de 46 años","Moderado","Otro","Educación","66651","ETF"
"197","12/06/2024","más de 46 años","Moderado","Ahorro","Vacaciones","26306","ETF"
"198","18/09/2024","entre 36 y 45 años","Conservador","Otro","Proyecto personal","80856","ETF"
"199","31/10/2024","menos de 25 años","Moderado","Aumentar ingresos","Vehículo","77821","Bonos"
"200","21/02/2024","más de 46 años","Moderado","Aumentar ingresos","Educación","27425","Bonos"
"201","10/10/2024","entre 26 y 35 años","Conservador","Inversión","Vacaciones","80418","ETF"
"202","01/02/2024","menos de 25 años","Moderado","Inversión","Vehículo","60826","ETF"
"203","02/05/2024","entre 26 y 35 años","Moderado","Retiro","Proyecto personal","37209","Bonos"
"204","22/02/2024","más de 46 años","Agresivo","Retiro","Proyecto personal","74201","Fondos"
"205","11/03/2024","más de 46 años","Moderado","Otro","Proyecto personal","26156","ETF"
"206","25/11/2024","entre 36 y 45 años","Conservador","Aumentar ingresos","Proyecto personal","89764","Fondos"
"207","17/03/2024","menos de 25 años","Agresivo","Ahorro","Aprendizaje","83830","Fondos"
"208","20/09/2024","menos de 25 años","Moderado","Aumentar ingresos","Sin motivo específico","69095","ETF"
"209","29/02/2024","entre 36 y 45 años","Moderado","Otro","Educación","47156","ETF"
"210","29/03/2024","más de 46 años","Moderado","Otro","Sin motivo específico","74750","ETF"
"211","20/03/2024","más de 46 años","Agresivo","Otro","Proyecto personal","91801","Bonos"
"212","29/04/2024","entre 36 y 45 años","Conservador","Otro","Proyecto personal","77551","Acciones"
"213","17/08/2024","entre 36 y 45 años","Moderado","Retiro","Proyecto personal","42112","ETF"
"214","20/06/2024","menos de 25 años","Conservador","Retiro","Aprendizaje","74764","Fondos"
"215","02/07/2024","más de 46 años","Agresivo","Inversión","Sin motivo específico","66791","Acciones"
"216","26/08/2024","menos de 25 años","Agresivo","Aumentar ingresos","Sin motivo específico","34164","ETF"
"217","08/09/2024","menos de 25 años","Agresivo","Ahorro","Aprendizaje","57015","Acciones"
"218","09/02/2024","menos de 25 años","Conservador","Retiro","Sin motivo específico","88043","Fondos"
"219","28/03/2024","entre 36 y 45 años","Conservador","Inversión","Proyecto personal","49366","ETF"
"220","07/02/2024","entre 26 y 35 años","Conservador","Aumentar ingresos","Aprendizaje","72642","ETF"
"221","20/06/2024","entre 36 y 45 años","Conservador","Inversión","Vivienda","69391","ETF"
"222","28/05/2024","entre 36 y 45 años","Conservador","Retiro","Educación","68213","Acciones"
"223","08/03/2024","entre 26 y 35 años","Moderado","Otro","Aprendizaje","32969","Acciones"
"224","14/07/2024","entre 26 y 35 años","Agresivo","Otro","Proyecto personal","65500","ETF"
"225","20/11/2024","más de 46 años","Conservador","Aumentar ingresos","Aprendizaje","69516","Bonos"
"226","17/04/2024","entre 26 y 35 años","Conservador","Ahorro","Vivienda","96437","ETF"
"227","13/08/2024","entre 26 y 35 años","Moderado","Otro","Vivienda","71603","Acciones"
"228","20/11/2024","más de 46 años","Agresivo","Aumentar ingresos","Sin motivo específico","64098","Bonos"
"229","05/01/2025","entre 26 y 35 años","Agresivo","Ahorro","Educación","79409","Acciones"
"230","03/06/2024","menos de 25 años","Conservador","Ahorro","Vehículo","77491","ETF"
"231","23/09/2024","entre 36 y 45 años","Moderado","Ahorro","Proyecto personal","67445","Acciones"
"232","07/07/2024","menos de 25 años","Moderado","Otro","Vehículo","61560","ETF"
"233","18/03/2024","más de 46 años","Agresivo","Aumentar ingresos","Educación","88504","Acciones"
"234","26/03/2024","entre 36 y 45 años","Conservador","Inversión","Vehículo","80033","Acciones"
"235","06/12/2024","entre 36 y 45 años","Conservador","Retiro","Vehículo","76226","ETF"
"236","07/10/2024","entre 26 y 35 años","Moderado","Retiro","Sin motivo específico","65097","ETF"
"237","25/05/2024","entre 36 y 45 años","Moderado","Retiro","Proyecto personal","70448","Acciones"
"238","07/04/2024","más de 46 años","Conservador","Inversión","Vivienda","41405","Bonos"
"239","26/06/2024","menos de 25 años","Conservador","Ahorro","Vivienda","80041","Acciones"
"240","04/03/2024","más de 46 años","Moderado","Retiro","Sin motivo específico","26870","ETF"
"241","24/03/2024","entre 26 y 35 años","Agresivo","Inversión","Aprendizaje","94964","Bonos"
"242","02/12/2024","entre 26 y 35 años","Conservador","Ahorro","Vacaciones","83780","Acciones"
"243","31/08/2024","entre 36 y 45 años","Moderado","Aumentar ingresos","Vivienda","53033","Fondos"
"244","04/04/2024","entre 26 y 35 años","Agresivo","Retiro","Aprendizaje","28369","ETF"
"245","06/07/2024","entre 36 y 45 años","Moderado","Otro","Educación","97304","ETF"
"246","24/02/2024","entre 36 y 45 años","Conservador","Inversión","Educación","66195","Fondos"
"247","07/06/2024","entre 26 y 35 años","Agresivo","Aumentar ingresos","Aprendizaje","56764","ETF"
"248","07/11/2024","entre 26 y 35 años","Agresivo","Inversión","Proyecto personal","36582","Bonos"
"249","17/12/2024","entre 26 y 35 años","Moderado","Inversión","Aprendizaje","88393","Bonos"
"250","20/10/2024","menos de 25 años","Conservador","Otro","Vehículo","66377","Bonos"
"251","14/12/2024","entre 36 y 45 años","Moderado","Ahorro","Sin motivo específico","38304","ETF"
"252","01/09/2024","entre 36 y 45 años","Agresivo","Otro","Vivienda","66941","ETF"
"253","07/01/2025","entre 26 y 35 años","Moderado","Aumentar ingresos","Vacaciones","39320","Acciones"
"254","25/01/2025","entre 26 y 35 años","Agresivo","Inversión","Sin motivo específico","28872","Bonos"
"255","05/03/2024","entre 36 y 45 años","Moderado","Ahorro","Proyecto personal","45573","Fondos"
"256","07/01/2025","entre 26 y 35 años","Moderado","Ahorro","Educación","32380","ETF"
"257","28/12/2024","entre 26 y 35 años","Conservador","Otro","Educación","93167","Acciones"
"258","22/02/2024","entre 36 y 45 años","Agresivo","Aumentar ingresos","Vivienda","75513","Bonos"
"259","25/04/2024","entre 26 y 35 años","Moderado","Otro","Sin motivo específico","80269","Fondos"
"260","23/08/2024","más de 46 años","Moderado","Otro","Aprendizaje","45194","Fondos"
"261","12/06/2024","entre 26 y 35 años","Moderado","Ahorro","Vacaciones","80434","Fondos"
"262","16/05/2024","menos de 25 años","Agresivo","Inversión","Proyecto personal","96925","Acciones"
"263","25/09/2024","entre 26 y 35 años","Agresivo","Ahorro","Vehículo","89491","Bonos"
"264","02/11/2024","menos de 25 años","Agresivo","Inversión","Vacaciones","31617","Acciones"
"265","01/10/2024","menos de 25 años","Agresivo","Retiro","Aprendizaje","39476","ETF"
"266","05/11/2024","menos de 25 años","Moderado","Aumentar ingresos","Educación","39995","Bonos"
"267","08/07/2024","más de 46 años","Agresivo","Ahorro","Proyecto personal","92253","Bonos"
"268","02/07/2024","entre 26 y 35 años","Moderado","Retiro","Proyecto personal","81287","Bonos"
"269","27/03/2024","entre 36 y 45 años","Conservador","Retiro","Sin motivo específico","44998","Acciones"
"270","14/10/2024","más de 46 años","Conservador","Ahorro","Proyecto personal","94123","Fondos"
"271","27/05/2024","más de 46 años","Conservador","Aumentar ingresos","Vivienda","97455","Acciones"
"272","30/06/2024","entre 26 y 35 años","Moderado","Inversión","Vacaciones","84298","Acciones"
"273","04/07/2024","entre 26 y 35 años","Conservador","Ahorro","Aprendizaje","52269","Acciones"
"274","24/09/2024","menos de 25 años","Agresivo","Aumentar ingresos","Vehículo","53755","Acciones"
"275","08/01/2025","entre 26 y 35 años","Moderado","Retiro","Aprendizaje","98174","Acciones"
"276","30/04/2024","menos de 25 años","Moderado","Otro","Educación","86810","Bonos"
"277","15/03/2024","entre 36 y 45 años","Agresivo","Ahorro","Proyecto personal","51101","Bonos"
"278","10/05/2024","más de 46 años","Agresivo","Aumentar ingresos","Vehículo","53802","Acciones"
"279","17/11/2024","entre 36 y 45 años","Moderado","Retiro","Educación","84951","Fondos"
"280","27/02/2024","más de 46 años","Conservador","Inversión","Educación","93866","Fondos"
"281","30/07/2024","menos de 25 años","Agresivo","Otro","Proyecto personal","60150","Fondos"
"282","25/07/2024","entre 36 y 45 años","Moderado","Retiro","Proyecto personal","64103","Fondos"
"283","03/11/2024","menos de 25 años","Moderado","Ahorro","Educación","57809","Bonos"
"284","04/03/2024","entre 36 y 45 años","Moderado","Retiro","Vehículo","85723","Acciones"
"285","15/05/2024","entre 26 y 35 años","Agresivo","Otro","Vivienda","95738","Fondos"
"286","02/03/2024","más de 46 años","Moderado","Aumentar ingresos","Vivienda","28652","ETF"
"287","28/10/2024","entre 26 y 35 años","Moderado","Retiro","Aprendizaje","50743","Fondos"
"288","09/07/2024","más de 46 años","Agresivo","Otro","Proyecto personal","66011","ETF"
"289","09/10/2024","menos de 25 años","Agresivo","Otro","Educación","93239","Acciones"
"290","29/07/2024","menos de 25 años","Conservador","Aumentar ingresos","Sin motivo específico","48519","Acciones"
"291","01/06/2024","menos de 25 años","Agresivo","Inversión","Aprendizaje","96113","Bonos"
"292","25/12/2024","entre 36 y 45 años","Moderado","Aumentar ingresos","Sin motivo específico","68092","ETF"
"293","23/09/2024","menos de 25 años","Conservador","Otro","Proyecto personal","46467","Bonos"
"294","20/05/2024","entre 26 y 35 años","Agresivo","Retiro","Proyecto personal","83944","Bonos"
"295","18/09/2024","entre 26 y 35 años","Agresivo","Inversión","Vacaciones","98811","Acciones"
"296","14/01/2025","entre 26 y 35 años","Agresivo","Otro","Sin motivo específico","80945","Acciones"
"297","28/09/2024","entre 36 y 45 años","Agresivo","Ahorro","Vivienda","64309","Bonos"
"298","26/08/2024","entre 26 y 35 años","Agresivo","Aumentar ingresos","Aprendizaje","89007","Bonos"
"299","03/03/2024","menos de 25 años","Moderado","Ahorro","Aprendizaje","62786","Fondos"
"300","07/07/2024","entre 26 y 35 años","Conservador","Otro","Vacaciones","34701","Acciones"
